DATE_1;TIME_1;PTemp;Rain_mm_Tot;S_HFlux_1_Avg;S_HFlux_2_Avg;S_HFlux_3_Avg;S_HFlux_1_Min;S_HFlux_2_Min;S_HFlux_3_Min;S_HFlux_1_Max;S_HFlux_2_Max;S_HFlux_3_Max;VWC_1_Avg;EC_1_Avg;TSoil_1_Avg;VWC_2_Avg;EC_2_Avg;TSoil_2_Avg;VWC_3_Avg;EC_3_Avg;TSoil_3_Avg;VWC_4_Avg;EC_4_Avg;TSoil_4_Avg;VWC_5_Avg;EC_5_Avg;TSoil_5_Avg;VWC_6_Avg;EC_6_Avg;TSoil_6_Avg;AirTC_Avg;RH;SVP_kPa;VP_kPa;PAR_Den_Avg;PAR_Den_Min;PAR_Den_Max;PAR_Tot_Tot;SR01Up_Avg;SR01Dn_Avg;IR01Up_Avg;IR01Dn_Avg;NR01TC_Avg;NR01TK_Avg;NetRs_Avg;NetRl_Avg;Albedo_Avg;UpTot_Avg;DnTot_Avg;NetTot_Avg;IR01UpCo_Avg;IR01DnCo_Avg;SR01Up_Min;SR01Dn_Min;IR01Up_Min;IR01Dn_Min;SR01Up_Max;SR01Dn_Max;IR01Up_Max;IR01Dn_Max;NR01heat_DC
NA;NA;NA;mm;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;Deg C;%;kPa;kPa;umol/s/m^2;umol/s/m^2;umol/s/m^2;mmol/m^2;W/m2;W/m2;W/m2;W/m2;Deg C;K;W/m2;W/m2;%;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;NA
22.03.2013;18:30:00;-0.585;0;-3.511772;-11.33197;-2.162079;-3.520521;-12.13095;-2.173708;-3.497962;-10.68504;-2.152159;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-7.749012;49.13086;0.3071063;0.150884;198.791;145.9906;251.0632;357.8239;104.3353;77.48024;-84.00388;-15.70725;-4.882253;268.2677;26.85504;-68.29662;0.7435169;20.33141;61.77299;-41.44158;209.6695;277.9661;75.84531;56.99969;-90.59618;-17.69971;131.9243;96.79798;-78.43548;-13.76217;1
22.03.2013;19:00:00;-2.442;0;-3.508015;-12.95054;-2.159191;-3.509896;-13.66581;-2.16335;-3.498601;-12.15317;-2.152573;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-8.199142;50.44095;0.3011516;0.1519037;132.6519;106.858;145.5383;238.7735;73.36624;54.30806;-75.03743;-13.3457;-5.943514;267.2065;19.05818;-61.69173;0.7401053;-1.671188;40.96236;-42.63356;214.0119;275.7037;61.85643;45.15384;-78.49536;-14.23511;76.31254;57.22823;-71.09544;-12.81809;1
22.03.2013;19:30:00;-3.879;0;-3.511803;-14.34087;-2.163208;-3.521336;-15.11279;-2.163721;-3.509924;-13.69901;-2.152979;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-8.541826;52.01981;0.2841926;0.1478364;54.22566;23.63168;103.0723;97.6062;28.32139;21.95212;-81.43663;-13.2887;-6.626898;266.5231;6.369264;-68.14793;0.8022605;-53.11525;8.663422;-61.77867;204.6693;272.8172;9.556039;9.095366;-90.86723;-14.18599;59.03204;43.38966;-75.15919;-12.29408;1
22.03.2013;20:00:00;-5.33;0;-3.509408;-16.19836;-2.157856;-3.510986;-17.25583;-2.164023;-3.499649;-15.14588;-2.153041;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-9.114371;51.41357;0.2842955;0.1461665;9.869885;1.969647;23.02574;17.76579;2.197966;3.486012;-88.94553;-13.1718;-7.650026;265.4999;-1.288046;-75.77374;NAN;-86.74757;-9.685782;-77.06178;192.7904;268.5641;0;0.3620671;-91.10518;-14.02959;9.015915;8.64286;-85.6476;-12.45359;1
22.03.2013;20:30:00;-6.224;0;-3.515399;-18.09157;-2.165359;-3.522846;-18.78202;-2.175189;-3.499804;-17.28893;-2.153381;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-9.459412;52.0776;0.2628119;0.1368661;0.4848578;0.07576893;1.818136;0.8727441;0;0.06939927;-85.67488;-12.54072;-8.115935;265.0341;-0.06939927;-73.13416;NAN;-85.67488;-12.47132;-73.20357;194.0883;267.2225;0;0;-87.01427;-13.14033;0;0.5431007;-84.47411;-11.98357;1
22.03.2013;21:00:00;-6.929;0;-3.505782;-19.50277;-2.15667;-3.523582;-19.91178;-2.175681;-3.478584;-19.11567;-2.132654;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-10.35161;51.80642;0.2470221;0.1279733;0.09164569;0.07578053;0.1515716;0.1182229;0;0.005264454;-85.39189;-10.95793;-9.157594;263.9924;-0.005264454;-74.43396;NAN;-85.39189;-10.95267;-74.43922;189.9988;264.4328;0;0;-86.67915;-11.56559;0;0.04527566;-81.38017;-7.044174;1
22.03.2013;21:30:00;-7.526;0;-3.5236;-20.49025;-2.175156;-3.523606;-21.0708;-2.175696;-3.523582;-19.92282;-2.164973;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-10.77311;48.63668;0.2321085;0.1128899;0.07957578;0.07578608;0.1515732;0.1432364;0;0.02792068;-86.90842;-11.55808;-9.452541;263.6974;-0.02792068;-75.35033;NAN;-86.90842;-11.53016;-75.37826;187.2539;262.6043;0;0;-89.1546;-12.35457;0;0.2716609;-84.50504;-10.98766;1
22.03.2013;22:00:00;-8.08;0;-3.526608;-21.63317;-2.17928;-3.546098;-22.1533;-2.197205;-3.523588;-21.09286;-2.175685;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-11.28793;47.38244;0.2335761;0.1106741;0.075787;0.07578622;0.07578915;0.1364166;0;0.04452274;-87.14544;-11.41447;-9.956763;263.1932;-0.04452274;-75.73097;NAN;-87.14544;-11.36995;-75.7755;184.9254;260.6564;0;0;-90.57;-12.61777;0;0.4074995;-85.15263;-10.72477;1
22.03.2013;22:30:00;-8.4;0;-3.546093;-22.62488;-2.198212;-3.546413;-23.08255;-2.20812;-3.534939;-22.16451;-2.197223;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-11.43548;49.26006;0.2240801;0.110382;0.07579305;0.07578975;0.07579589;0.1364275;0;0;-90.00083;-11.82372;-10.14746;263.0025;0;-78.17712;NAN;-90.00083;-11.82372;-78.17712;181.2827;259.4599;0;0;-90.86926;-12.61847;0;0;-88.28271;-11.19919;1
22.03.2013;23:00:00;-8.62;0;-3.553564;-23.41636;-2.209769;-3.557703;-23.65726;-2.218903;-3.546413;-23.09359;-2.197401;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-11.67918;49.94043;0.222733;0.1112338;0.0757973;0.07579589;0.07579808;0.1364351;0;0.008301927;-84.03687;-10.92526;-10.43925;262.7107;-0.008301927;-73.1116;NAN;-84.03687;-10.91696;-73.1199;186.0444;259.156;0;0;-87.98843;-11.72523;0;0.1811341;-78.8093;-10.25318;1
