DateTime,ALBEDO_1_1_1,APAR_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,P_1_1_1,RH_1_1_1,SHF_1_1_1,SHF_1_1_2,SHF_1_1_3,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWC_1_1_5,SWC_1_1_6,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,TS_1_1_5,TS_1_1_6,time
yyyy-mm-dd HH:MM:SS,%,umol/m^2/s,W/m^2,W/m^2,W/m^2,umol/m^2/s,m,%,W/m^2,W/m^2,W/m^2,%,%,%,%,%,%,W/m^2,W/m^2,deg C,deg C,deg C,deg C,deg C,deg C,deg C,seconds since 1970-01-01 00:00:00.0
2023-06-09 15:30,0.175074,24.0365,-76.4693,26.1937,311.105,801.2139999999999,0.0,55.9761,--,42.9154,-61.3941,34.1312,--,34.4933,41.7678,36.425000000000004,37.2697,501.871,88.1028,18.343000000000018,26.198000000000036,--,19.52800000000002,17.025000000000034,23.63100000000003,24.35300000000001,1686324600.0
2023-06-09 16:00,0.173067,18.7787,-94.9212,23.7969,220.109,625.957,0.0,54.5578,--,20.6545,-30.2911,34.098800000000004,--,34.5418,41.7768,36.4143,37.277300000000004,411.18199999999996,72.3552,19.091000000000008,25.810000000000002,--,19.799000000000035,17.087000000000046,25.360000000000014,26.812000000000012,1686326400.0
2023-06-09 16:30,0.179029,11.9469,-72.9762,20.2543,169.082,398.231,0.0,53.9528,--,10.2383,-25.175,34.065,--,34.5767,41.767700000000005,36.4292,37.3303,320.73900000000003,58.4268,18.884000000000015,25.590000000000032,--,20.049000000000035,17.160000000000025,23.876000000000033,24.16700000000003,1686328200.0
2023-06-09 17:00,0.191908,8.78865,-56.7229,16.0667,73.9334,292.955,0.0,53.9808,--,-10.142,-0.43943000000000004,34.0087,--,34.621199999999995,41.7912,36.4295,37.3632,181.037,34.3145,18.422000000000025,25.390000000000043,--,20.257000000000005,17.244000000000028,21.85300000000001,21.59200000000004,1686330000.0
2023-06-09 17:30,0.193064,6.2682199999999995,-48.1493,11.8021,37.9752,208.94099999999997,0.0,49.5944,--,-15.2584,3.9072199999999997,33.9288,--,34.651700000000005,41.778000000000006,36.408699999999996,37.408,121.32600000000001,23.3996,18.825000000000045,25.062999999999988,--,20.42500000000001,17.326000000000022,20.94100000000003,20.50400000000002,1686331800.0
2023-06-09 18:00,0.19983,3.54909,-49.0811,7.51605,-3.2589099999999998,118.303,0.0,49.3288,--,-20.5175,12.4126,33.8458,--,34.6777,41.798500000000004,36.322500000000005,37.4237,66.6466,13.3084,19.06800000000004,24.757000000000005,--,20.557000000000016,17.418000000000006,20.605999999999995,20.033000000000015,1686333600.0
2023-06-09 18:30,0.190132,4.6881699999999995,-50.5579,6.8063199999999995,16.4734,156.27200000000002,0.0,52.3596,--,-15.0242,5.21621,33.762800000000006,--,34.7103,41.818,36.2502,37.4453,91.0945,17.2568,18.836000000000013,24.423000000000002,--,20.65500000000003,17.512000000000057,20.158000000000015,19.677999999999997,1686335400.0
2023-06-09 19:00,0.21390100000000004,2.02515,-42.647,5.89307,-19.8877,67.5051,0.0,60.0577,--,-32.8273,26.2392,33.6837,--,34.7265,41.8288,36.182700000000004,37.459,35.9225,7.27005,18.049000000000035,24.045000000000016,--,20.720000000000027,17.601,19.38100000000003,18.90300000000002,1686337200.0
2023-06-09 19:30,0.235868,3.8027599999999997,-50.0045,6.29639,2.27101,126.759,0.0,61.3369,--,-37.6645,28.3364,33.6012,--,34.7258,41.846700000000006,36.1342,37.4792,75.0183,16.4464,17.011000000000024,23.675999999999988,--,20.759000000000015,17.687999999999988,17.633000000000038,17.00200000000001,1686339000.0
2023-06-09 20:00,0.21104499999999998,3.19183,-78.3984,3.2415700000000003,-33.7006,106.39399999999999,0.0,53.4618,--,-30.8576,23.5843,33.5092,--,34.7347,41.86430000000001,36.0512,37.475,60.779,12.8397,16.74599999999998,23.212000000000046,--,20.76600000000002,17.77000000000004,17.494000000000028,16.951000000000022,1686340800.0
2023-06-09 20:30,0.24507199999999998,2.1024599999999998,-90.8228,2.15968,-63.7457,70.0819,0.0,59.3021,--,-37.7717,33.2183,33.42,--,34.7557,41.8793,35.9392,37.4783,38.4816,9.244810000000001,16.189999999999998,22.737000000000023,--,20.75,17.843000000000018,16.504999999999995,16.083000000000027,1686342600.0
2023-06-09 21:00,0.362236,0.840542,-80.9375,1.2418200000000001,-71.5481,28.0181,0.0,60.2383,--,-38.0765,36.3219,33.3275,--,34.738800000000005,41.8948,35.8462,37.462,16.4535,5.82227,16.137000000000057,22.28800000000001,--,20.710000000000036,17.91300000000001,15.882000000000005,15.427999999999997,1686344400.0
2023-06-09 21:30,--,0.203431,-87.9097,-0.495338,-88.2637,6.78102,0.0,61.9743,--,-43.229,42.6687,33.2487,--,34.731300000000005,41.905,35.7625,37.4573,1.9536099999999998,2.80302,15.970000000000027,21.865999999999985,--,20.65100000000001,17.970000000000027,15.352000000000032,14.94300000000004,1686346200.0
2023-06-09 22:00,--,0.0221787,-84.2451,-1.18408,-84.9241,0.73929,0.0,63.7818,--,-41.0369,40.9717,33.152,--,34.7317,41.9133,35.6638,37.4422,0.0,1.86316,15.836000000000013,21.460000000000036,--,20.575000000000045,18.02000000000004,14.789000000000044,14.435000000000002,1686348000.0
2023-06-09 22:30,--,0.00439035,-66.9141,-0.9320450000000001,-67.7669,0.146345,0.0,65.2529,--,-37.4797,37.0538,33.0735,--,34.7095,41.930200000000006,35.572199999999995,37.4285,0.0,1.78479,15.733000000000004,21.062000000000012,--,20.483000000000004,18.064999999999998,14.657000000000039,14.28000000000003,1686349800.0
2023-06-09 23:00,--,0.00317925,-44.3792,0.10852,-45.812,0.105975,0.0,59.5803,--,-22.0475,19.33,32.995999999999995,--,34.6873,41.9422,35.4922,37.4147,0.0,1.32428,15.674000000000035,20.687000000000012,--,20.379999999999995,18.101,15.085000000000036,14.763000000000034,1686351600.0
2023-06-09 23:30,--,0.00253584,-86.2235,-2.8163,-84.1638,0.0845279,0.0,52.3165,--,-38.007,32.8484,32.927499999999995,--,34.6732,41.943000000000005,35.4138,37.3938,0.0,0.756733,15.29000000000002,20.30400000000003,--,20.267000000000053,18.126000000000033,14.721000000000004,14.435000000000002,1686353400.0
2023-06-10 00:00,--,0.00257366,-77.0466,-2.5126,-75.5644,0.0857888,0.0,52.3987,--,-35.6303,31.8002,32.856199999999994,--,34.6568,41.9587,35.3175,37.3562,0.0,1.03033,14.728000000000009,19.932999999999993,--,20.142000000000053,18.144000000000062,13.850000000000023,13.629999999999995,1686355200.0
2023-06-10 00:30,--,0.00257365,-94.6364,-3.80345,-92.0329,0.08578839999999999,0.0,50.6539,--,-42.8605,41.4679,32.76969999999999,--,34.626999999999995,41.965,35.2292,37.3245,0.0,1.19991,14.201000000000022,19.561000000000035,--,20.013000000000034,18.156000000000006,13.05400000000003,12.859000000000037,1686357000.0
2023-06-10 01:00,--,0.00287667,-62.0572,-1.62085,-61.7464,0.095889,0.0,51.3649,--,-31.2851,28.9101,32.7102,--,34.596700000000006,41.9742,35.1468,37.3222,0.0,1.31005,13.79000000000002,19.218000000000018,--,19.88100000000003,18.158000000000015,12.768000000000029,12.597000000000037,1686358800.0
2023-06-10 01:30,--,0.00238499,-82.7186,-1.62209,-81.8504,0.07949980000000001,0.0,53.3707,--,-40.0933,36.614,32.6432,--,34.575700000000005,41.9548,35.0723,37.30650000000001,0.0,0.753898,13.04400000000004,18.87299999999999,--,19.742999999999995,18.15700000000004,12.685000000000002,12.545000000000016,1686360600.0
2023-06-10 02:00,--,0.00227158,-91.6685,-1.65457,-91.0845,0.07571939999999999,0.0,57.301,--,-42.8825,40.3619,32.574200000000005,--,34.5493,41.967,34.9813,37.312,0.0,1.0706,12.233000000000004,18.549000000000035,--,19.600000000000023,18.150000000000034,11.589000000000055,11.508000000000038,1686362400.0
2023-06-10 02:30,--,0.00227162,-92.8517,-1.38934,-92.6242,0.07572050000000001,0.0,59.5716,--,-42.5117,38.8204,32.517199999999995,--,34.5328,41.9555,34.8982,37.3263,0.0,1.16185,11.727000000000032,18.186000000000035,--,19.461000000000013,18.136000000000024,11.091000000000008,11.012000000000057,1686364200.0
