"","DateTime","RECORD","batt_volt_Min","Anonymous1_Avg","Ta_Avg","RH_Avg","DP_Avg","P_Tot","AWS","SDWS","WndSpd_raw_Max","RWS","WD","SDWD","PAR_Den_Avg","SWin_Avg","SWin_Std","SWout_Avg","LWin_meas_Avg","LWout_meas_Avg","NR01_tK_Avg","NR01_tC_Avg","SWn_Avg","LWn_Avg","Albedo_Avg","Rg","Rr_Avg","Rn_Avg","LWin_Avg","LWout_Avg","NR01_heat_Avg","Tsky_Avg","Tsrf_Avg","SHF_avg_Avg","SWC_avg_10cm_Avg","SWC_avg_20cm_Avg","SWC_avg_50cm_Avg","Tsoil","Ts_avg_20cm_Avg","Ts_avg_50cm_Avg","SHF_Avg(1)","SHF_Avg(2)","SHF_Avg(3)","SWC_1","SWC_10cm_2_Avg","SWC_10cm_3_Avg","SWC_20cm_1_Avg","SWC_20cm_2_Avg","SWC_20cm_3_Avg","SWC_50cm_1_Avg","SWC_50cm_2_Avg","SWC_50cm_3_Avg","Ts_10cm_1_Avg","Ts_10cm_2_Avg","Ts_10cm_3_Avg","Ts_20cm_1_Avg","Ts_20cm_2_Avg","Year","DoY","Hour","date","NEE","H2O_NEE","LE","H","Tair","rH","VPD","Ustar","wind_speed","wind_dir","x_70%","x_90%","QF_h2o","rand_err_h2o_flux","rand_err_co2_flux","QF","max_footprint","NEE_f","Rg_f","LE_f","H_f","Tair_f","rH_f","VPD_f","Tsoil_f","Doy","DOM","hour","month_number","week","SolTime","SolDecl","SolElev","moisture_levels"
"1",2013-05-13 11:00:00,0,13.02,297.8,26.88835,25.34994,5.414129,0,4.901721,1.464378,8.691725,4.583242,123.81,20.6467,1741.292,863.7791,6.63324,156.0419,-131.1529,55.51121,301.4114,28.26144,707.7371,-186.6641,0.1806527,732.6261,211.5531,521.073,336.8223,523.4864,0,4.471849,36.82677,43.02238,0.2559868,0.3586841,0.3648281,20.76188,18.05814,15.81052,38.01682,25.86655,65.18376,0.2544229,0.2360853,0.2774523,0.3560706,0.363077,0.3569046,0.3605092,0.3721945,0.3617807,21.25409,19.09726,21.93428,17.86979,17.67274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.5883271886461,732.6261,288.384792427257,65.7809174816579,29.2787408918236,39.0092836846533,2.52959605149516e-06,20.76188,133,13,11,5,19,9.49520308974999,0.313799784991801,0.794227340530179,"<30%"
"2",2013-05-13 11:30:00,1,13.03,299.5,27.0871,24.34509,5.000955,0,4.992764,1.441315,9.312965,4.678643,132.5707,20.31715,1684.259,835.7379,46.80107,153.4285,-129.9186,53.73823,301.6494,28.49948,682.3094,-183.6569,0.183554,705.8192,207.1667,498.6525,339.536,523.1928,0,5.029469,36.78327,41.87466,0.2560976,0.3588431,0.3649003,21.13542,18.15615,15.79971,40.35902,25.68825,59.5767,0.2544778,0.2359005,0.2779144,0.3564011,0.3630261,0.3571022,0.3604494,0.3723722,0.3618794,21.73401,19.21839,22.45386,18.01121,17.73061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.1237303934261,705.8192,277.639382949529,64.8863580679003,29.5537165141428,37.4150466800821,2.61597480744968e-06,21.13542,133,13,11,5,19,9.99520308974999,0.313799784991801,0.858354219856224,"<30%"
"3",2013-05-13 12:00:00,2,13.05,303,27.24339,24.15151,5.016628,0,4.257778,1.354228,8.142977,3.903081,124.9894,23.37878,1515.29,746.6159,154.4012,138.8304,-131.2161,49.1179,301.9192,28.76919,607.7855,-180.334,0.1844464,615.3998,187.9483,427.4516,339.9201,520.2542,0,5.107948,36.34195,39.45878,0.2562815,0.3589235,0.3647852,21.58451,18.28703,15.78504,41.70418,25.6717,51.00047,0.2547789,0.2356344,0.2784311,0.3564716,0.3630494,0.3572494,0.3604672,0.3721144,0.3617738,22.30068,19.35519,23.09765,18.20416,17.80392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.6724854204787,615.3998,259.7262990486,65.5226865402749,29.2635811446404,37.5891594375617,2.56935416069746e-06,21.58451,133,13,12,5,19,10.49520308975,0.313799784991801,0.913059286819241,"<30%"
"4",2013-05-13 12:30:00,3,13.06,304,27.26706,23.36161,4.556645,0,4.159189,1.29536,8.292813,3.914589,126.2086,19.64305,1307.688,639.7259,203.0829,120.6182,-128.2061,37.11924,301.6384,28.48841,519.1077,-165.3254,0.1846146,511.5197,157.7374,353.7823,341.1829,506.5083,0,5.363867,34.26733,38.52519,0.2565024,0.3589633,0.3647826,22.00878,18.42543,15.76864,42.07861,24.92004,48.57692,0.2552228,0.2353678,0.2789167,0.356555,0.3629144,0.3574205,0.3604811,0.3720172,0.3618494,22.82344,19.48942,23.71348,18.4014,17.87326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.3647283043451,511.5197,209.061633527107,39.0263289594629,26.0853333416817,48.3302221861764,1.791049781892e-06,22.00878,133,13,12,5,19,10.99520308975,0.313799784991801,0.955426158997246,"<30%"
"5",2013-05-13 13:00:00,4,13.02,303.8,27.60391,23.43775,4.886004,0,4.219099,1.054059,7.138038,3.995461,134.3261,18.64865,1442.984,712.5268,33.9423,135.9327,-120.8773,40.96796,302.1394,28.98943,576.5941,-161.8453,0.1908089,591.6495,176.9007,414.7488,351.6347,513.48,0,7.46767,35.33506,36.99327,0.2568043,0.3591229,0.3646665,22.3931,18.57168,15.75427,42.97334,22.77631,45.23017,0.2555978,0.2353939,0.2794211,0.3566694,0.3631583,0.3575411,0.3604644,0.3719316,0.3616033,23.28542,19.62116,24.27273,18.60749,17.93987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.3671685660001,591.6495,245.43419806662,61.8455761335569,28.7822363706397,38.8371684563532,2.47401336838954e-06,22.3931,133,13,13,5,19,11.49520308975,0.313799784991801,0.982492834846791,"<30%"
"6",2013-05-13 13:30:00,5,12.94,306.4,27.29927,23.10578,4.430352,0,4.239053,1.282106,7.641971,3.905603,128.9721,22.71778,1092.961,534.5496,168.8239,102.5947,-120.4617,27.43383,301.7908,28.64083,431.9549,-147.8955,0.1867721,414.0879,130.0285,284.0594,349.8867,497.7823,0,7.117282,32.93143,36.2206,0.2571594,0.3596092,0.364645,22.71394,18.72368,15.73922,43.37823,20.73748,44.54609,0.25552,0.2361328,0.2798255,0.3564794,0.3644605,0.3578878,0.3604755,0.3716428,0.3618167,23.66383,19.73337,24.74462,18.81968,18.00603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.934988499001,414.0879,197.503847526552,23.5552362435053,26.1134184973904,47.5627729442674,1.8879398554689e-06,22.71394,133,13,13,5,19,11.99520308975,0.313799784991801,0.991934912048954,"<30%"
"7",2013-05-13 14:00:00,6,13.01,301.4,27.10729,22.72338,4.034473,0.1,NA,1.122005,7.074018,NA,45,0,1089.657,536.2451,86.4235,104.0167,-115.4535,23.35756,301.3356,28.18559,432.2283,-138.811,0.1926945,420.7916,127.3743,293.4173,352.0504,490.8614,0,7.546073,31.87889,29.80337,0.2573135,0.3595848,0.3646072,22.98615,18.87658,15.72399,43.67218,18.88742,26.8505,0.2554666,0.2361311,0.2803428,0.3554672,0.3649439,0.3583433,0.3605378,0.3714678,0.3618161,23.98127,19.82441,25.15279,19.03086,18.07195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.3141577657051,420.7916,190.124449185416,26.0814969856516,25.5411481193519,49.6839775228016,1.73275098875672e-06,22.98615,133,13,14,5,19,12.49520308975,0.313799784991801,0.982845433014255,"<30%"
"8",2013-05-13 14:30:00,7,12.95,295.5,27.09743,23.55295,4.530087,0,3.44191,1.137231,6.230051,3.280491,137.8066,17.5413,833.2628,408.9462,115.7719,82.81889,-112.1098,15.06529,301.2963,28.14636,326.1273,-127.1751,0.1987582,296.8364,97.88418,198.9522,355.1516,482.3266,0,8.153538,30.53924,21.80286,0.2572741,0.3595174,0.36456,23.19434,19.0282,15.71137,42.69365,15.90688,6.808064,0.2556483,0.2354761,0.2806978,0.355405,0.3644772,0.35867,0.3604839,0.3713961,0.3618,24.21687,19.90952,25.45665,19.23331,18.1351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.055224635449,296.8364,147.342896261892,6.7606043543614,24.2018507655347,53.8065590987739,1.43289105106154e-06,23.19434,133,13,14,5,19,12.99520308975,0.313799784991801,0.956098442692236,"<30%"
"9",2013-05-13 15:00:00,8,12.63,289.7,25.97966,24.37682,4.080695,0,2.672132,0.9427562,5.394239,2.527666,126.276,18.8338,403.8799,188.3383,131.5146,38.56937,-119.4915,-1.664366,299.843,26.69308,149.7689,-117.8271,0.1794651,68.8468,36.90501,31.9418,338.8499,456.677,0,4.865992,26.40185,21.02773,0.2575885,0.3595998,0.3646824,23.34291,19.17485,15.69761,41.07899,14.82215,7.182057,0.2565389,0.2353939,0.2808328,0.3553233,0.3646539,0.3588222,0.3606445,0.3714794,0.3619233,24.36128,20.00947,25.65799,19.42655,18.19618,2013,133,19,1,NA,NA,85.9281912722037,-19.9012546938142,27.9845504346231,22.3515862095752,2.89818969057987e-06,0.23116365756545,2.56582000744191,125.542245493051,63.0063356734357,94.3949720963889,1,0.173561154418241,0.527678951714763,2,282.926586117822,-4.45487748859734,68.8468,85.9281912722037,-19.9012546938142,27.9845504346231,22.3515862095752,2.89818969057987e-06,23.34291,133,13,15,5,19,13.49520308975,0.313799784991801,0.913998040308247,"<30%"
"10",2013-05-13 15:30:00,9,12.73,276.4,26.22818,24.95645,4.625748,0,2.211112,0.7901772,5.323945,2.107284,135.537,17.55242,494.2493,243.2168,54.7888,56.44792,-110.9582,-3.157897,299.8043,26.65434,186.7689,-107.8003,0.2276032,132.2586,53.29002,78.96857,347.1165,454.9169,0,6.550936,26.13467,17.40042,0.2578107,0.359739,0.3646852,23.42163,19.31287,15.68621,38.59198,10.36055,3.248728,0.2571378,0.2353478,0.2809466,0.3554961,0.364655,0.3590661,0.3607894,0.3714889,0.3617772,24.42348,20.12029,25.72112,19.60636,18.25162,2013,133,19.5,1,-4.49869713450927,NA,94.8371108198961,-24.2573601273749,28.3914054072616,22.7111971767253,2.95389684874354e-06,0.217903942535148,2.10478139170263,134.758118805013,73.0700287120852,109.47221811326,1,0.202071497975435,0.424335432308637,1,300.318844085846,-4.49869713450927,132.2586,94.8371108198961,-24.2573601273749,28.3914054072616,22.7111971767253,2.95389684874354e-06,23.42163,133,13,15,5,19,13.99520308975,0.313799784991801,0.859501349980587,"<30%"
